self.test_dataset is None. Custom split for Peptides will be used.
Epoch 122, Train mae: 0.32735887734061997, Validation mae: 0.3205648177251034, Test mae: 0.3327861728968921
Epoch 123, Train mae: 0.33076703521844203, Validation mae: 0.32338061832220755, Test mae: 0.3342771089317358
Epoch 124, Train mae: 0.3411252814191997, Validation mae: 0.33365797830313276, Test mae: 0.3449413230980685
Epoch 125, Train mae: 0.3358737943934, Validation mae: 0.3275016924563727, Test mae: 0.3379154103296297
Epoch 126, Train mae: 0.3590443629651897, Validation mae: 0.3524192332940161, Test mae: 0.3655386055323864
Epoch 127, Train mae: 0.3275725434847833, Validation mae: 0.32098965183801786, Test mae: 0.3315998170315478
Epoch 128, Train mae: 0.32969961063157754, Validation mae: 0.3230373873980656, Test mae: 0.3340862634508255
Epoch 129, Train mae: 0.33696725069900935, Validation mae: 0.330260567453377, Test mae: 0.34326051772024335
Epoch 130, Train mae: 0.32912053765757676, Validation mae: 0.3229173651482096, Test mae: 0.3340539879703767
Epoch 131, Train mae: 0.3569663400884869, Validation mae: 0.34754110459144, Test mae: 0.35758753170122254
Epoch 132, Train mae: 0.32506764456143233, Validation mae: 0.31714184451185035, Test mae: 0.3286443190454976
Epoch 133, Train mae: 0.32418045094312964, Validation mae: 0.3168457174879039, Test mae: 0.32929291779112274
Epoch 134, Train mae: 0.33514459920567596, Validation mae: 0.32683088449207515, Test mae: 0.33903516577784465
Epoch 135, Train mae: 0.32561025863560805, Validation mae: 0.317171960698336, Test mae: 0.33122787255424635
Epoch 136, Train mae: 0.32255808604100167, Validation mae: 0.3162425034281932, Test mae: 0.3284051817586523
Epoch 137, Train mae: 0.3265349757350117, Validation mae: 0.31746704594509023, Test mae: 0.3307892946867613
Epoch 138, Train mae: 0.32977961251973165, Validation mae: 0.3235006502696446, Test mae: 0.33592627929137636
Epoch 139, Train mae: 0.3228845692493325, Validation mae: 0.3153006474586169, Test mae: 0.3278222174692543
Epoch 140, Train mae: 0.3288905776014085, Validation mae: 0.3204442330283292, Test mae: 0.333501076101234
Epoch 141, Train mae: 0.3211001623228328, Validation mae: 0.31402771441479294, Test mae: 0.3260908331650104
Epoch 142, Train mae: 0.32984286287139425, Validation mae: 0.32227759287624286, Test mae: 0.33593124438897065
Epoch 143, Train mae: 0.3218682493932616, Validation mae: 0.31468510251861437, Test mae: 0.32677079306964146
Epoch 144, Train mae: 0.32084586013649485, Validation mae: 0.31341975211381196, Test mae: 0.32693716002758455
Epoch 145, Train mae: 0.3251386820793064, Validation mae: 0.31685180946104213, Test mae: 0.3282117310996119
Epoch 146, Train mae: 0.3199383254121596, Validation mae: 0.3137876900645706, Test mae: 0.32661159491907216
Epoch 147, Train mae: 0.3196646462480794, Validation mae: 0.3110755418680196, Test mae: 0.3232378079905524
Epoch 148, Train mae: 0.31977338399157335, Validation mae: 0.3122623790389527, Test mae: 0.3252558442514273
Epoch 149, Train mae: 0.32933852028563876, Validation mae: 0.3223056041314744, Test mae: 0.3355188701782857
Epoch 150, Train mae: 0.3181076266997369, Validation mae: 0.31023400372468773, Test mae: 0.32279102717127117
Epoch 151, Train mae: 0.31999552011171917, Validation mae: 0.313555411262504, Test mae: 0.32625453456028086
150 epochs without improvement, stopping training
Best train mae: 0.31999552011171917, Best validation mae: 0.313555411262504, Best test mae: 0.32625453456028086
